date,text
1785-05-05,Clear. I went to Doct r Coney s By water with Cyrus. paid y e Doct rs Bill for my Sickness Last Decembr which was 9:6. On our return were obliged to Call mr Mc masters ascistance to get by y e rock. I Calld at mr westons; found her very ill. tar d all night.
1785-05-06,"Clear. was at mr Westons. his Sloop Came up. his wife rode out, is more Comfortable. mr Ballard & I went on Bord Cap t Smith, Bought Some [flan l ], returnd home. Son Town tard here."
1785-05-07,Birth. Tylars son. XX Clear & pleas t . Brother Town Dind here. Enformd that his Daug t Hannah has had ye Collik. mrs Foster here; Drank Tea. James Cowen here. James Moore Came to Conduct me to Nath n Tylars. I arivd about Sun sett. put mrs Tylar to Bed with a Son at 8 [oc] in Evin g . I tarr d all night.
1785-05-07,I was at home all Day. mr Thomas here. I was making Soap.
1785-05-07,Cloudy & Chilly. I was at home. Capt Nichols & Reubin Moore Drank Tea here. mr Williams tard all night. Polly Savage here; brought yarn.
1785-05-08,"B Cloud. I was at home. mr Williams went away from here this morn. Collins Moore, mr Davis & Tho s Mc keckny here. Polly Savage here; Drank Chocolat."
1785-05-10,"B was Calld at a little past 12 in morn by mr Edson, to go to his wife being in travil. walkt to ye Brok over thee point; was Drawn by Edson & Wm Canady on a Slead. the river Dangers But arived Safe through Divine protection."
1785-05-15,B Clear & Pleasant. Mr Savage & Polly here. I was at home all Day. Mehitable Pollard was married this Day.
1785-05-20,"B Clear & pleast. Returnd From Tylars. Poll Savage here. Enformd me of ye Death of Ben n Browns Daft, Nabby. mr Burn & his Brt r Jesse & Hann h Crage, [Talk] North off [ ] here. Jon a Retr d from Sebestac k ; all well there."
1785-06-02,"Clear. mrs Forbes here to Bake. Peggy & Babe with h r . I attended Funeral of Ben n Browns Daft r , Nabby, who Deceas t 19 th inst, being 4 years & 1 Day old. mr Bal d met Select Gent m at Isaac Clearks."
1785-06-02,"Birth. Edsons chilDren. two Sons. X At 4 & 20 in morn, mrs Edson was Deliverd of a Son which waid 7 1/2 lb and at 6 & 5 minnits of another Son which wd 8 3/4 lb. Left her at about 10, mr Ballard Coming there at that time. Enformd of ye Death of our Grand Son John Town, who Last thursday morn Drank So much spirit that Causd his Death which hapend yester Day at 8 in the morn. On my return from mr Edsons, mrs Weston Cald me in, Nathan Being Sick. I tarried with her this night. Left ye Child much Better."
1785-06-02,"Clear. Hannah & Dolly washd & Scourd. Old mr Whealer here & Dind. mr Ballard Gone to Settle w t mr Gardner, Pirkins & Moore for Building y r Mill. I weighd y e pork; wt 205 lb."
1785-06-02,"Clear Morn, Cloudy after n . Hannah washd. Dolly workd in y e Gardin & went to Savage Boltons for Currant bushes. I was at home all Day. finnish d a pair of tow hoes."
1785-06-03,"Clear. Daughter Town went home. mr Ballard went To Doc t Coneys on Publik Buisness. I was at home all day, Doubled Cyrus s Cott n yarn. finisht my [ ]."
1785-06-03,"Clear part of y e Day, Snowd at night. I combd flax. was very unwell at night."
1785-06-03,Mrs Foster here; Dind. I was at home all Day. Jonathan hurt his foot with a Slab. mr Bullins Barn Burnt yesterd y at 11 O Clok in morn.
1785-06-04,"Clear. I went onto y e gardin to plant peppers. Eph m Came in, Complaind of pain in his bowels, had a very ill turn. I set out some roots after n . Hannah & Dolly went to mr Crages. mr Ballard went to mr Fauts for Seed Corn."
1785-06-06,Snowd. I was makeing lee for soap. at home all Day. mr Savage returnd w H our hors from Car ng his Sist r home. Polly Savag here for medecin for hannah. I Sent Some Allowotic tincture.
1785-06-07,Clear. mrs Gardy went from here to Colo n Norths. Hannah & Polly Hamblin went with her. I was very unwell; at home all Day. mr Twing brought mr Ballards Breachs.
1785-07-03,Snowd all day. mr Ballard gone to Bumb r Hook mak ng Raits. I was at home all Day. Poll Savg here. I finsht my Self a pair hoes & Sowd up a Sheet.
1785-07-03,"Clear and Cold for April. I Came home from mr Westons. Cald at mr Pollards. Jon o is gone to Son Towns to attend funeral of their Son. I went to Bed but, thinking of my Childrens trouble, Could not compose to Sleep. At 11 Oclok Ev n , Wood d Allin Cald me up. went by Land to Col o Norths; very bad walking. we car d a candle to y e top of Burnt hill. between 12 & 1 arivd at Allins but I was much fataugd."
1785-07-03,Clear. Mr Straten & Hayward Brought y r Logs. I was at home all Day. W m Cowens wife here.
1785-07-03,Clear. mrs Foster work d for me. Mr Forbes & Peggy & mr Kenady Drank Tea here. Georg Boltons wife here. David Pollards Loggs Brought into y e Brook y s Day. This Day mr Ballard is Sixty years old. I was at home.
1785-07-03,Clear. I went to mr Savages to see Hannah. We killd our Calf & Baked & Churnd.
1785-07-04,Snowd. mr Ballard brought home a yoak of oxen which he Brought of Moses White. I was at home all day. Hannah twist d Cyruss yarn.
1785-07-04,Snowd & raind. mr Canady & Church here Getting logs into the Brook.
1785-07-04,"at home. mr & mrs Forbes, Peggy & Pol y Savage Drank Tea here. mr Ballard Gone to Col o Howards mill to Repair it. hannah movd her Bed up Chamber."
1785-07-05,Clear. mrs Weston Rode as far as here. mr s Foster & Billy here & mrs Woodward. James Cowen tarried here all night. I was at home all Day.
1785-07-05,B Clear. I was Cald to mr Suels to See his wife; found her very unwell but Left her more comfortable about the middle of the Day. found Sister Williams & Doct r Barton here. I was calld to Dan l Boltons; She being poorly.
1785-07-06,"I am at mr Towns. mrs Stagpool Came to See us. I went to y e river with her; mist my way returning home. mr Lewis & Betsy Town went to seek me. at length I found y e way home, though Some fatagd."
1785-07-07,Clear & warm part of ye Day; raind after noon. Jon o & Cowan Gone to attend funeral of Eben z Taylor who departed this life yesterday. I was at home y s day.
1785-07-17,B Clear. I attended funeral of old mr Thorn. Cap t Fillbrook made a prayer on the ocasion. The Corps were Carried by water to [ ] & there interd. I returnd from grave with Esq. Pettee & mrs Craggin. Leut Browns Lady went to Son Towns. mr Dexter & Capt Hale & Lady there. Betsy went to y e Grave to attend funeral mr Thorn. mrs Collar was Deliv d Last night of a dead Child.
1785-08-02,At Boltons. made a pair of Trouses for Jimmy.
1785-08-02,Clear morn. mrs Brewer & Polly Fouler here. at Son Towns all Day. rain & thunder aftern.
1785-08-03,"B Snow y morn, the trees much Loaded. raind after noon. mr Ballard went to Thomas Sewils to hear mr Kinsman Speak At eving. mr Savage Supt here. I was at home all day."
1785-08-03,"Clear & hott. I was at home all Day Collecting herbs. hannah Combd Flax, Dolly rode hors to plough. Sheribiah Town Breakfasted here."
1785-08-04,"Clear, Cold & Blustring. mr Ballard gan to ye Hook."
1785-08-04,X Birth. Wd. Allins Daftr. XX Clear. Mrs Allin Deliverd of a Dafter at 4 this morn. I returnd home at 11 O Clock. Receivd 6 Shillings of Woodward Allin in part for fee & medicin which Shee had of me. I took a knap of Sleep ys afternoon. mr Woodward here. mr forbes made a pres t of a Calfs head. Jon o Returnd from Towns.
1785-08-04,Clear. Town meeting. I Combd Flax after noone. at home all Day.
1785-08-04,"Clear. I went to mr woodwards, Elliss & Dan l Boltons. Betsy Chever here."
1785-08-04,Clear. mrs Bisby & Polly & Hannah Crage here. I receivd a line from Daughter Town & Rote an answere which I finished at 11 O Clok this Evin g . I was at home all Day.
1785-08-05,"Cloudy morn, Clear aftr n . mr Forbes & John here, made Eph ms Coat & waist Coat. Hannah washt. I was at home all Day."
1785-08-05,"Clear & Cool for April. I was unwell, had taken Cold which Causd a pain in my Neck and Sholder. Col o Howard, mr Brooks & Do ct Colman here. Enformd of y e Death of Leut t Howard who Departed this Life yesterday."
1785-08-05,"Clear. mr Ballard gone to Ditoes. John Pinkam here for herbs for his Child thats unwell. the ice runs in the river this Day. mr Forbes here, made me a pres t of a Ladle. I was at home all day."
1785-08-06,It raind. mr Hamlin arivd here from y e westward. I made Some Butter. was at home y s Day.
1785-08-06,mrs Town & I went to mr Stratens. Colo l Brewer & Lady at mr Towns Dore. we had a Shower. mr Stratens Boy Sett us over y e river. mr Town is gone to Cobecy.
1785-08-07,I went with mrs Town to See mrs Dexter. mrs Straten there.
1785-08-07,"B Polly went home, y e Girls went with her attend d by Cyrus. I was at home all Day."
1785-08-26,B I went with Son & Dafter Town to mr Stackpools.
1785-09-02,Snowd allmost all Day. mr Ballard attend d Town meeting. I finnished one of Cyruss cotten hoes. was at home y s Day.
1785-09-02,I went with mrs Straten & mr Town to Cap t Haywards.
1785-09-02,At home all Day. y e Girls Washd.
1785-09-02,"I was at mr Edsons, Carried warp [ ] Cyrus s . Calld at mr Pollards."
1785-09-03,Came from Boltons & went mr EdSons to Carry my web to weave. was at mr Westons.
1785-09-03,Clear. I went to See mrs Collar. mr Dexter & Straten there. Daughter Town unwell at Eving.
1785-09-04,"Cloudy. I went to mr Westons to See Polly Adams, She being Lame. Cald at mr Pollards; Drank Tea. We killd a veall, I drest y e head & feet at Evening."
1785-09-05,Cloar & Cold. mr Ballard Returnd home to night. I have been Some unwell to Day.
1785-09-05,Clear & very Cold for Ap l . I was at home. Let John Sahaw have 1 oz of salve; prs Eight pence.
1785-09-05,Clear. I was at home. Com d flax. ye e Gerls Brewd.
1785-09-05,Clear. I went to mr Westons & other Neighbors. finnishd a pair of Tow hoes.
1785-09-05,"Clear & hott, a Shower after noone. I was at home all Day. mr Ballard Bought 1/2 a Barl of Pork & a Tea Kettle. it Thunders tonight. I had news of Brother Moores Saw mill being Consumed by fire, also near 70 thousand of good Boards belonging to Georg Brown."
1785-09-06,"Clear & Cold. mrs Foster here. I was at home all Day. Col o North, mr Brooks & mr Ballard Layn g out Road."
1785-09-06,"[mr] Turner & wf at mr westons. Clear & warm. mr Ballard attendid funeral of Leut Howard. the CorpS were Brought on a Sleigh up ye River to Col o Howards in ye morn g , y e funeral at two O Clock. I was at Mr Westons, Saw the Widdow Drawn Down river at about Six after n in ye sleigh Drawn by men. I tarried at mr Westons all night; took Care of Jimmy."
1785-09-06,"mr Weston here. Desird me to go to his hous, his wife being unwell. I watk d there. mr Ballard Came after me at Evin g ; rode home. it raind this Evin g ."
1785-09-06,"X Birth. Simm Clearks Dafter. Recd 6/. XX I attended Lecter. went from meeting to mr Suels to See Cap t Suels Foot, it being Scolt. Drank Tea y r . James Moore Calld me from there to go to Simmion Clarks wife, Shee being in travil. was Safely Del d of a Dafter at 11 / OClock Eving. I tar d all night, mrs Peter Clerk also. I have recievd 6/ & there is 2/ Due."
1785-09-07,"I was at home. It Raind. mrs Weston here; Georg Boltons wife, Sally Bolton & Polly Savage."
1785-09-07,"Clear, pleas t morn. Lucy not very well. mr Town Came home; brought news y t mr Ballard was gone to Casco to Cort as an Evidence in behalf of Emmerson. I was at mr Towns all Day, but am anaxious to see home again it being dific lt for me to be gone."
1785-09-10,"B Lords Day & very pleas t . at mr Towns yet, Lucy about house yet. mr Stackpole & Lady here, Drank Tea. Sally Dexter also. Nathan Howard paid Betsy a visit this Evening."
1785-09-18,B rainy. I went to Chamberlins to see their Babe.
1785-09-29,B I was Calld to Danniel Boltons to See his wife. went to See mrs Ellis.
1785-10-02,At Boltons all Day.
1785-10-02,A Cloudy morn. I was at Son Towns all Day. Betsy went to mr Dexters & Stratens. Lucy was unwell.
1785-10-02,I went to mrs Fosters. Brought home my [sheets] she mended. Let Polly Barton have them.
1785-10-03,"Raind in y e morn, Sun Shind about 01 [sic] in morn. it haild in y e after n . Sun Sett Clear, raind hard in the Evin g . I was at home y s Day. Began to make Soap."
1785-10-03,I was at mr Towns all Day. Betsy Carried a web to mr Crosbys. Sally Stackpole & Loes Spencer here.
1785-10-03,At home all Day. y e Girls Spinng.
1785-10-03,I was at home all Day.
1785-10-04,Clear. mrs Foster here to mend my quilt. Woodward Allins wife here. I was at home to Day.
1785-10-04,Clear. mr Tho s Suel at Son Towns this Morn. Lucy & I went to mr Dexters for water to Drink.
1785-10-05,Very hott. Broth Moore was here to have writeings Drawn. mrs Bolton here. Hannah and Dolly Gone Mr Westons. mr Leighton here. Enformd y t mrs Hersy was Delivrd of a Son. I was at home all day.
1785-10-06,"Clear & Cold. Hannah & Dolly Gone out ys aftern. mr Taylor, His D r Polly & Sam l Duttun Junr Dind here. I was at home all day."
1785-10-06,"Clear & Cold. I went to Isaac Savages to See Hannah, his Daftr. was at James & Georg Boltons & mr forbes s . Brothr Moore & mr Hawes here. I finished Cyrus s Cotten hoes."
1785-10-06,Clear. Our gardin was fenced. mr Foster here. I Comd flax. was at home all Day.
1785-10-06,"Clear. mrs Forbes, Savage & Elisab h Casson here. Major Pain & mr Glover Dind here. I was at home y s day. Hanh h Crage here."
1785-10-06,Rainy. I was at home all Day. we set Cabbage plants.
1785-10-07,Clear. I went to ye Hook; Carried Dolly to try on h r Gown.
1785-10-07,"Clear. At mr Westons till after Dinner. mr Weston Returnd from Boston. got home about 12 O Clock, Crost y e river on the Ice. mrs Pollard & I at Col o Norths; Drank Tea."
1785-10-07,"Chilly. I was at home. Brother Moore & mr Haws, mr Forbes & wife & Peggy, Dind here & Cap t Hatch, mr Edson, also mrs Savage, Drank Tea. I had three Brooms of mr Smith. Let him have 3:4 d in cash & 1 lb of Coffee. Our Saw mill stopt by ye Back water. A Great Cry for provision. no Vesils arived yet. ye ice run this Day."
1785-10-07,Clear & hott. I Came home from mr Clearks. our men Cleard y e Crick of Sunken Stuff.
1785-10-07,"Birth. Hodges Dafter. fee Receivd. X mrs Hodges was Safely Delivr d of a Dafter at 6/O Clock y s morn. I returnd home at Ten, Left her Comfortable. Hannah & Polly returnd from mr Towns. Left y m all well. Cyrus Conducted Polly home & brought his Cloath from Edsons."
1785-10-11,"B I got ready to go to Esqr Howards & it raind & I put it by. I was Some unwell after n . mr woodward & mr Savige & wife here after meeting. Enformd y t mrs M c Masters had Got to Bed & her Child was deceas t , y e funeral tomorrow. This is Cyrus s Birth Day; aged 29 years."
1785-10-13,"B Cloudy, wind at S.E. Began to Snow at 5 PM. Isaac Savage here Eving. I was at home all Day."
1785-10-18,3] I was at home all Day. Dolly very unwell. I rose in y e night to take Care of her.
1785-10-21,"B Clear. I went to meeting, y e Sacrament administerd. mr Ballard & I partook. mrs Shaw here after meeting."
1785-10-24,"B ]. fee Recvd. X I was Calld at 2 O Clock in ye Morn to go to thee hook to Mrs Blake in travil. went Winthrop road about 4 miles, from that to Blakes near four miles. arivd before the Sun rose, found mrs Blake Deliverd of a Son By the help of Peter Clearks wife. receivd 4 Shilling for my trouble. returnd to Fosters on hors back; from thence walk d home attindid by mr Foster. I was much fatagud. then Calld to Isaac Savages to See hannah, his Dafter. returnd home at 10 in Evin g . on return mr Ballard found y e Boome Logs & Bords all a float. Hamlin, Robbins, Cowin & Jonathan got out of bed & went to Secure them. People pas d on the ice from Fort western this Day."
